Calendar_Year;Calendar_Month;Account_LvL1_Text;Account_LvL1_Key;Amount
2019;January;COGS (excl. Mfg. Ove;LCAMPR.2000;-548,58
2019;January;Distribution Cost;LCAMPR.3000;-97,12
2019;January;Financial & secondar;LCAMPR.8100;0
2019;January;Gross Revenue;LCAMPR.1100;3501,35
2019;January;Marketing Costs;LCAMPR.4000;-151,26
2019;January;Operating Expenses;LCAMPR.5000;-1051,33
2019;January;Sales Discounts;LCAMPR.1400;-90,21
2019;January;Trade Contributions;LCAMPR.1700;-183,2
2019;February;COGS (excl. Mfg. Ove;LCAMPR.2000;-298,56
2019;February;Distribution Cost;LCAMPR.3000;-75,5
2019;February;Financial & secondar;LCAMPR.8100;0
2019;February;Gross Revenue;LCAMPR.1100;2128,83
2019;February;Marketing Costs;LCAMPR.4000;-160,34
2019;February;Operating Expenses;LCAMPR.5000;-1043,61
2019;February;Sales Discounts;LCAMPR.1400;-66,41
2019;February;Trade Contributions;LCAMPR.1700;-125
2019;March;COGS (excl. Mfg. Ove;LCAMPR.2000;-367,36
2019;March;Distribution Cost;LCAMPR.3000;-77,79
2019;March;Financial & secondar;LCAMPR.8100;0
2019;March;Gross Revenue;LCAMPR.1100;2520,37
2019;March;Marketing Costs;LCAMPR.4000;-229,48
2019;March;Operating Expenses;LCAMPR.5000;-1097,34
2019;March;Sales Discounts;LCAMPR.1400;-68,27
2019;March;Trade Contributions;LCAMPR.1700;-162,74
2019;April;COGS (excl. Mfg. Ove;LCAMPR.2000;-321,73
2019;April;Distribution Cost;LCAMPR.3000;-84,18
2019;April;Financial & secondar;LCAMPR.8100;0
2019;April;Gross Revenue;LCAMPR.1100;2323,2
2019;April;Marketing Costs;LCAMPR.4000;-273,03
2019;April;Operating Expenses;LCAMPR.5000;-1213,83
2019;April;Sales Discounts;LCAMPR.1400;-71,06
2019;April;Trade Contributions;LCAMPR.1700;-161,41
2019;May;COGS (excl. Mfg. Ove;LCAMPR.2000;-345,6
2019;May;Distribution Cost;LCAMPR.3000;-83,69
2019;May;Gross Revenue;LCAMPR.1100;2577,03
2019;May;Marketing Costs;LCAMPR.4000;-239,18
2019;May;Operating Expenses;LCAMPR.5000;-1148,56
2019;May;Sales Discounts;LCAMPR.1400;-70,75
2019;May;Trade Contributions;LCAMPR.1700;-166,83
2019;June;COGS (excl. Mfg. Ove;LCAMPR.2000;-271,35
2019;June;Distribution Cost;LCAMPR.3000;-83,88
2019;June;Financial & secondar;LCAMPR.8100;0,08
2019;June;Gross Revenue;LCAMPR.1100;2219,3
2019;June;Marketing Costs;LCAMPR.4000;-225,21
2019;June;Operating Expenses;LCAMPR.5000;-1127,44
2019;June;Sales Discounts;LCAMPR.1400;-73,25
2019;June;Trade Contributions;LCAMPR.1700;-116,55
2019;July;COGS (excl. Mfg. Ove;LCAMPR.2000;-387,85
2019;July;Distribution Cost;LCAMPR.3000;-85,97
2019;July;Financial & secondar;LCAMPR.8100;0
2019;July;Gross Revenue;LCAMPR.1100;2753,640583
2019;July;Marketing Costs;LCAMPR.4000;-217,111397
2019;July;Operating Expenses;LCAMPR.5000;-1221,886258
2019;July;Sales Discounts;LCAMPR.1400;-95,86601459
2019;July;Trade Contributions;LCAMPR.1700;-174,2065337
2019;August;COGS (excl. Mfg. Ove;LCAMPR.2000;-362,9324926
2019;August;Distribution Cost;LCAMPR.3000;-95,31719431
2019;August;Financial & secondar;LCAMPR.8100;-0,084568599
2019;August;Gross Revenue;LCAMPR.1100;2980,069857
2019;August;Marketing Costs;LCAMPR.4000;-227,5396897
2019;August;Operating Expenses;LCAMPR.5000;-1215,170174
2019;August;Sales Discounts;LCAMPR.1400;-113,4382801
2019;August;Trade Contributions;LCAMPR.1700;-183,5646251
2019;September;COGS (excl. Mfg. Ove;LCAMPR.2000;-758,2860052
2019;September;Distribution Cost;LCAMPR.3000;-109,6782228
2019;September;Gross Revenue;LCAMPR.1100;4569,163926
2019;September;Marketing Costs;LCAMPR.4000;-296,2629207
2019;September;Operating Expenses;LCAMPR.5000;-1183,62614
2019;September;Sales Discounts;LCAMPR.1400;-128,0235496
2019;September;Trade Contributions;LCAMPR.1700;-325,0169295
2019;October;COGS (excl. Mfg. Ove;LCAMPR.2000;-983,1398884
2019;October;Distribution Cost;LCAMPR.3000;-143,2867759
2019;October;Gross Revenue;LCAMPR.1100;5436,19719
2019;October;Marketing Costs;LCAMPR.4000;-402,3551975
2019;October;Operating Expenses;LCAMPR.5000;-1323,942988
2019;October;Sales Discounts;LCAMPR.1400;-172,8821556
2019;October;Trade Contributions;LCAMPR.1700;-383,7129279
2019;November;COGS (excl. Mfg. Ove;LCAMPR.2000;-1015,127774
2019;November;Distribution Cost;LCAMPR.3000;-128,4295839
2019;November;Gross Revenue;LCAMPR.1100;5342,039528
2019;November;Marketing Costs;LCAMPR.4000;-645,8010141
2019;November;Operating Expenses;LCAMPR.5000;-1244,947872
2019;November;Sales Discounts;LCAMPR.1400;-117,660565
2019;November;Trade Contributions;LCAMPR.1700;-332,1350229
2019;December;COGS (excl. Mfg. Ove;LCAMPR.2000;-692,5175597
2019;December;Distribution Cost;LCAMPR.3000;-126,8316529
2019;December;Financial & secondar;LCAMPR.8100;0,09034639
2019;December;Gross Revenue;LCAMPR.1100;3842,438142
2019;December;Marketing Costs;LCAMPR.4000;-692,0798847
2019;December;Operating Expenses;LCAMPR.5000;-1665,094204
2019;December;Sales Discounts;LCAMPR.1400;-133,1144759
2019;December;Trade Contributions;LCAMPR.1700;-479,1441217
