Calendar_Year;Calendar_Month;Account_Text;Account_Key;Amount
2018;January;COGS (excl. Mfg. Ove;2000;-711,32
2018;January;Distribution Cost;3000;-89,2
2018;January;Gross Revenue;1100;3492,62
2018;January;Marketing Costs;4000;-115,76
2018;January;Operating Expenses;5000;-936,99
2018;January;Sales Discounts;1400;-72,12
2018;January;Trade Contributions;1700;-182,27
2018;February;COGS (excl. Mfg. Ove;2000;-375,06
2018;February;Distribution Cost;3000;-67,3
2018;February;Gross Revenue;1100;2416,28
2018;February;Marketing Costs;4000;-154,81
2018;February;Operating Expenses;5000;-889,81
2018;February;Sales Discounts;1400;-58,8
2018;February;Trade Contributions;1700;-145,38
2018;March;COGS (excl. Mfg. Ove;2000;-365,45
2018;March;Distribution Cost;3000;-79,49
2018;March;Gross Revenue;1100;2377,52
2018;March;Marketing Costs;4000;-242,71
2018;March;Operating Expenses;5000;-1005,01
2018;March;Sales Discounts;1400;-47,5
2018;March;Trade Contributions;1700;-169,75
2018;April;COGS (excl. Mfg. Ove;2000;-263,31
2018;April;Distribution Cost;3000;-77,71
2018;April;Gross Revenue;1100;2117,21
2018;April;Marketing Costs;4000;-190,45
2018;April;Operating Expenses;5000;-1039,09
2018;April;Sales Discounts;1400;-49,14
2018;April;Trade Contributions;1700;-142,5
2018;May;COGS (excl. Mfg. Ove;2000;-282,81
2018;May;Distribution Cost;3000;-86,5
2018;May;Gross Revenue;1100;2413,13
2018;May;Marketing Costs;4000;-167,36
2018;May;Operating Expenses;5000;-1111,94
2018;May;Sales Discounts;1400;-62,66
2018;May;Trade Contributions;1700;-151,72
2018;June;COGS (excl. Mfg. Ove;2000;-196,75
2018;June;Distribution Cost;3000;-83,27
2018;June;Gross Revenue;1100;2161,28
2018;June;Marketing Costs;4000;-212,81
2018;June;Operating Expenses;5000;-1080,87
2018;June;Sales Discounts;1400;-55,24
2018;June;Trade Contributions;1700;-88,21
2018;July;COGS (excl. Mfg. Ove;2000;-442,38
2018;July;Distribution Cost;3000;-76,16
2018;July;Gross Revenue;1100;2755,02
2018;July;Marketing Costs;4000;-194,65
2018;July;Operating Expenses;5000;-1040,5
2018;July;Sales Discounts;1400;-52,29
2018;July;Trade Contributions;1700;-127,53
2018;August;COGS (excl. Mfg. Ove;2000;-516,5041392
2018;August;Distribution Cost;3000;-92,23517689
2018;August;Gross Revenue;1100;3295,795
2018;August;Marketing Costs;4000;-259,7464279
2018;August;Operating Expenses;5000;-1065,749822
2018;August;Sales Discounts;1400;-93,37735357
2018;August;Trade Contributions;1700;-185,3573351
2018;September;COGS (excl. Mfg. Ove;2000;-747,8273122
2018;September;Distribution Cost;3000;-101,6747799
2018;September;Gross Revenue;1100;3817,16814
2018;September;Marketing Costs;4000;-219,8536958
2018;September;Operating Expenses;5000;-1122,577047
2018;September;Sales Discounts;1400;-82,545517
2018;September;Trade Contributions;1700;-232,0561012
2018;October;COGS (excl. Mfg. Ove;2000;-936,5350496
2018;October;Distribution Cost;3000;-125,8105343
2018;October;Gross Revenue;1100;5089,327896
2018;October;Marketing Costs;4000;-344,5246599
2018;October;Operating Expenses;5000;-1221,164165
2018;October;Sales Discounts;1400;-111,1985847
2018;October;Trade Contributions;1700;-306,9731351
2018;November;COGS (excl. Mfg. Ove;2000;-1009,899084
2018;November;Distribution Cost;3000;-136,1831483
2018;November;Gross Revenue;1100;5291,957709
2018;November;Marketing Costs;4000;-646,0849294
2018;November;Operating Expenses;5000;-1267,375807
2018;November;Sales Discounts;1400;-101,7706793
2018;November;Trade Contributions;1700;-430,0096024
2018;December;COGS (excl. Mfg. Ove;2000;-618,2273513
2018;December;Distribution Cost;3000;-116,2375036
2018;December;Gross Revenue;1100;3391,031954
2018;December;Marketing Costs;4000;-744,8355898
2018;December;Operating Expenses;5000;-1743,749084
2018;December;Sales Discounts;1400;-75,64891583
2018;December;Trade Contributions;1700;-533,8202656
